hour_of_day,cash_type,money,coffee_name,time_of_day,weekdaysort,weekday,monthsort,month_name,date,time,_year,_month,_day,season,season_astro
10,card,38.7,Latte,Morning,5,Friday,3,March,2024-03-01,2025-09-25 10:15:50.520,2024,3,1,Spring,Winter
12,card,38.7,Hot Chocolate,Afternoon,5,Friday,3,March,2024-03-01,2025-09-25 12:19:22.539,2024,3,1,Spring,Winter
12,card,38.7,Hot Chocolate,Afternoon,5,Friday,3,March,2024-03-01,2025-09-25 12:20:18.089,2024,3,1,Spring,Winter
13,card,28.9,Americano,Afternoon,5,Friday,3,March,2024-03-01,2025-09-25 13:46:33.006,2024,3,1,Spring,Winter
13,card,38.7,Latte,Afternoon,5,Friday,3,March,2024-03-01,2025-09-25 13:48:14.626,2024,3,1,Spring,Winter
15,card,33.8,Americano with Milk,Afternoon,5,Friday,3,March,2024-03-01,2025-09-25 15:39:47.726,2024,3,1,Spring,Winter
16,card,38.7,Hot Chocolate,Afternoon,5,Friday,3,March,2024-03-01,2025-09-25 16:19:02.756,2024,3,1,Spring,Winter
18,card,33.8,Americano with Milk,Night,5,Friday,3,March,2024-03-01,2025-09-25 18:39:03.580,2024,3,1,Spring,Winter
19,card,38.7,Cocoa,Night,5,Friday,3,March,2024-03-01,2025-09-25 19:22:01.762,2024,3,1,Spring,Winter
19,card,33.8,Americano with Milk,Night,5,Friday,3,March,2024-03-01,2025-09-25 19:23:15.887,2024,3,1,Spring,Winter
19,card,33.8,Americano with Milk,Night,5,Friday,3,March,2024-03-01,2025-09-25 19:29:17.391,2024,3,1,Spring,Winter
10,card,28.9,Americano,Morning,6,Saturday,3,March,2024-03-02,2025-09-25 10:22:06.957,2024,3,2,Spring,Winter
10,card,33.8,Americano with Milk,Morning,6,Saturday,3,March,2024-03-02,2025-09-25 10:41:41.249,2024,3,2,Spring,Winter
11,card,33.8,Americano with Milk,Morning,6,Saturday,3,March,2024-03-02,2025-09-25 11:59:45.484,2024,3,2,Spring,Winter
14,card,28.9,Americano,Afternoon,6,Saturday,3,March,2024-03-02,2025-09-25 14:38:35.535,2024,3,2,Spring,Winter
16,card,33.8,Americano with Milk,Afternoon,6,Saturday,3,March,2024-03-02,2025-09-25 16:37:24.475,2024,3,2,Spring,Winter
17,card,28.9,Americano,Night,6,Saturday,3,March,2024-03-02,2025-09-25 17:34:54.969,2024,3,2,Spring,Winter
10,card,38.7,Latte,Morning,7,Sunday,3,March,2024-03-03,2025-09-25 10:27:18.561,2024,3,3,Spring,Winter
11,card,28.9,Cortado,Morning,7,Sunday,3,March,2024-03-03,2025-09-25 11:33:56.118,2024,3,3,Spring,Winter
12,card,28.9,Americano,Afternoon,7,Sunday,3,March,2024-03-03,2025-09-25 12:26:56.098,2024,3,3,Spring,Winter
13,card,38.7,Hot Chocolate,Afternoon,7,Sunday,3,March,2024-03-03,2025-09-25 13:09:36.321,2024,3,3,Spring,Winter
17,card,38.7,Cocoa,Night,7,Sunday,3,March,2024-03-03,2025-09-25 17:06:40.271,2024,3,3,Spring,Winter
17,card,28.9,Cortado,Night,7,Sunday,3,March,2024-03-03,2025-09-25 17:08:45.895,2024,3,3,Spring,Winter
18,card,33.8,Americano with Milk,Night,7,Sunday,3,March,2024-03-03,2025-09-25 18:03:23.369,2024,3,3,Spring,Winter
18,card,33.8,Americano with Milk,Night,7,Sunday,3,March,2024-03-03,2025-09-25 18:04:27.946,2024,3,3,Spring,Winter
18,card,38.7,Hot Chocolate,Night,7,Sunday,3,March,2024-03-03,2025-09-25 18:08:04.959,2024,3,3,Spring,Winter
10,card,38.7,Latte,Morning,1,Monday,3,March,2024-03-04,2025-09-25 10:03:51.994,2024,3,4,Spring,Winter
10,card,38.7,Latte,Morning,1,Monday,3,March,2024-03-04,2025-09-25 10:54:50.958,2024,3,4,Spring,Winter
11,card,33.8,Americano with Milk,Morning,1,Monday,3,March,2024-03-04,2025-09-25 11:05:16.184,2024,3,4,Spring,Winter
14,card,24.0,Espresso,Afternoon,1,Monday,3,March,2024-03-04,2025-09-25 14:04:37.734,2024,3,4,Spring,Winter
9,card,38.7,Latte,Morning,2,Tuesday,3,March,2024-03-05,2025-09-25 09:59:52.651,2024,3,5,Spring,Winter
14,card,38.7,Latte,Afternoon,2,Tuesday,3,March,2024-03-05,2025-09-25 14:34:55.963,2024,3,5,Spring,Winter
17,card,38.7,Latte,Night,2,Tuesday,3,March,2024-03-05,2025-09-25 17:34:06.043,2024,3,5,Spring,Winter
17,card,38.7,Hot Chocolate,Night,2,Tuesday,3,March,2024-03-05,2025-09-25 17:35:25.021,2024,3,5,Spring,Winter
17,card,38.7,Cocoa,Night,2,Tuesday,3,March,2024-03-05,2025-09-25 17:36:28.571,2024,3,5,Spring,Winter
17,card,38.7,Hot Chocolate,Night,2,Tuesday,3,March,2024-03-05,2025-09-25 17:37:13.659,2024,3,5,Spring,Winter
17,card,38.7,Hot Chocolate,Night,2,Tuesday,3,March,2024-03-05,2025-09-25 17:38:09.354,2024,3,5,Spring,Winter
17,card,28.9,Cortado,Night,2,Tuesday,3,March,2024-03-05,2025-09-25 17:56:15.776,2024,3,5,Spring,Winter
18,card,38.7,Hot Chocolate,Night,2,Tuesday,3,March,2024-03-05,2025-09-25 18:01:31.242,2024,3,5,Spring,Winter
13,card,28.9,Americano,Afternoon,3,Wednesday,3,March,2024-03-06,2025-09-25 13:24:07.667,2024,3,6,Spring,Winter
13,card,28.9,Cortado,Afternoon,3,Wednesday,3,March,2024-03-06,2025-09-25 13:25:14.351,2024,3,6,Spring,Winter
14,card,38.7,Cappuccino,Afternoon,3,Wednesday,3,March,2024-03-06,2025-09-25 14:52:01.761,2024,3,6,Spring,Winter
14,card,38.7,Cappuccino,Afternoon,3,Wednesday,3,March,2024-03-06,2025-09-25 14:53:18.344,2024,3,6,Spring,Winter
10,card,38.7,Hot Chocolate,Morning,4,Thursday,3,March,2024-03-07,2025-09-25 10:18:40.543,2024,3,7,Spring,Winter
11,card,38.7,Latte,Morning,4,Thursday,3,March,2024-03-07,2025-09-25 11:03:58.976,2024,3,7,Spring,Winter
15,card,28.9,Americano,Afternoon,4,Thursday,3,March,2024-03-07,2025-09-25 15:40:22.606,2024,3,7,Spring,Winter
15,card,33.8,Americano with Milk,Afternoon,4,Thursday,3,March,2024-03-07,2025-09-25 15:41:28.784,2024,3,7,Spring,Winter
10,card,28.9,Cortado,Morning,5,Friday,3,March,2024-03-08,2025-09-25 10:34:41.283,2024,3,8,Spring,Winter
12,card,38.7,Cappuccino,Afternoon,5,Friday,3,March,2024-03-08,2025-09-25 12:22:28.653,2024,3,8,Spring,Winter
13,card,28.9,Americano,Afternoon,5,Friday,3,March,2024-03-08,2025-09-25 13:53:02.042,2024,3,8,Spring,Winter
14,card,28.9,Americano,Afternoon,5,Friday,3,March,2024-03-08,2025-09-25 14:44:12.686,2024,3,8,Spring,Winter
14,card,28.9,Americano,Afternoon,5,Friday,3,March,2024-03-08,2025-09-25 14:45:11.048,2024,3,8,Spring,Winter
14,card,33.8,Americano with Milk,Afternoon,5,Friday,3,March,2024-03-08,2025-09-25 14:46:11.155,2024,3,8,Spring,Winter
18,card,38.7,Latte,Night,5,Friday,3,March,2024-03-08,2025-09-25 18:57:51.451,2024,3,8,Spring,Winter
18,card,38.7,Latte,Night,5,Friday,3,March,2024-03-08,2025-09-25 18:59:24.941,2024,3,8,Spring,Winter
12,card,24.0,Espresso,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 12:05:15.559,2024,3,9,Spring,Winter
12,card,28.9,Americano,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 12:07:38.275,2024,3,9,Spring,Winter
12,card,38.7,Cappuccino,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 12:09:47.714,2024,3,9,Spring,Winter
12,card,28.9,Americano,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 12:13:03.521,2024,3,9,Spring,Winter
12,card,28.9,Americano,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 12:14:26.458,2024,3,9,Spring,Winter
13,card,38.7,Latte,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 13:09:22.229,2024,3,9,Spring,Winter
13,card,33.8,Americano with Milk,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 13:41:06.167,2024,3,9,Spring,Winter
13,card,28.9,Cortado,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 13:53:10.408,2024,3,9,Spring,Winter
13,card,38.7,Cappuccino,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 13:54:36.828,2024,3,9,Spring,Winter
14,card,33.8,Americano with Milk,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 14:08:01.829,2024,3,9,Spring,Winter
14,card,38.7,Hot Chocolate,Afternoon,6,Saturday,3,March,2024-03-09,2025-09-25 14:26:52.873,2024,3,9,Spring,Winter
19,card,38.7,Cappuccino,Night,6,Saturday,3,March,2024-03-09,2025-09-25 19:17:57.572,2024,3,9,Spring,Winter
19,card,38.7,Hot Chocolate,Night,6,Saturday,3,March,2024-03-09,2025-09-25 19:19:10.084,2024,3,9,Spring,Winter
11,card,24.0,Espresso,Morning,7,Sunday,3,March,2024-03-10,2025-09-25 11:19:20.764,2024,3,10,Spring,Winter
19,card,38.7,Latte,Night,7,Sunday,3,March,2024-03-10,2025-09-25 19:34:00.478,2024,3,10,Spring,Winter
19,card,28.9,Cortado,Night,7,Sunday,3,March,2024-03-10,2025-09-25 19:35:54.712,2024,3,10,Spring,Winter
11,card,38.7,Cappuccino,Morning,1,Monday,3,March,2024-03-11,2025-09-25 11:32:58.781,2024,3,11,Spring,Winter
16,card,28.9,Americano,Afternoon,1,Monday,3,March,2024-03-11,2025-09-25 16:24:26.401,2024,3,11,Spring,Winter
16,card,38.7,Latte,Afternoon,1,Monday,3,March,2024-03-11,2025-09-25 16:25:45.664,2024,3,11,Spring,Winter
16,card,28.9,Cortado,Afternoon,1,Monday,3,March,2024-03-11,2025-09-25 16:50:49.608,2024,3,11,Spring,Winter
10,card,28.9,Americano,Morning,2,Tuesday,3,March,2024-03-12,2025-09-25 10:15:34.543,2024,3,12,Spring,Winter
10,card,28.9,Cortado,Morning,2,Tuesday,3,March,2024-03-12,2025-09-25 10:16:24.886,2024,3,12,Spring,Winter
11,card,38.7,Hot Chocolate,Morning,2,Tuesday,3,March,2024-03-12,2025-09-25 11:20:45.632,2024,3,12,Spring,Winter
12,card,33.8,Americano with Milk,Afternoon,2,Tuesday,3,March,2024-03-12,2025-09-25 12:46:23.275,2024,3,12,Spring,Winter
12,card,28.9,Americano,Afternoon,2,Tuesday,3,March,2024-03-12,2025-09-25 12:47:26.027,2024,3,12,Spring,Winter
16,card,28.9,Americano,Afternoon,2,Tuesday,3,March,2024-03-12,2025-09-25 16:15:43.325,2024,3,12,Spring,Winter
11,card,38.7,Hot Chocolate,Morning,3,Wednesday,3,March,2024-03-13,2025-09-25 11:06:43.038,2024,3,13,Spring,Winter
11,card,28.9,Americano,Morning,3,Wednesday,3,March,2024-03-13,2025-09-25 11:48:16.753,2024,3,13,Spring,Winter
12,card,28.9,Americano,Afternoon,3,Wednesday,3,March,2024-03-13,2025-09-25 12:18:06.336,2024,3,13,Spring,Winter
12,card,28.9,Americano,Afternoon,3,Wednesday,3,March,2024-03-13,2025-09-25 12:19:05.128,2024,3,13,Spring,Winter
14,card,33.8,Americano with Milk,Afternoon,3,Wednesday,3,March,2024-03-13,2025-09-25 14:26:40.875,2024,3,13,Spring,Winter
15,card,24.0,Espresso,Afternoon,3,Wednesday,3,March,2024-03-13,2025-09-25 15:40:22.261,2024,3,13,Spring,Winter
15,card,24.0,Espresso,Afternoon,3,Wednesday,3,March,2024-03-13,2025-09-25 15:41:20.424,2024,3,13,Spring,Winter
16,card,24.0,Espresso,Afternoon,3,Wednesday,3,March,2024-03-13,2025-09-25 16:47:09.373,2024,3,13,Spring,Winter
10,card,38.7,Latte,Morning,4,Thursday,3,March,2024-03-14,2025-09-25 10:28:33.017,2024,3,14,Spring,Winter
10,card,38.7,Hot Chocolate,Morning,4,Thursday,3,March,2024-03-14,2025-09-25 10:29:34.283,2024,3,14,Spring,Winter
13,card,28.9,Cortado,Afternoon,4,Thursday,3,March,2024-03-14,2025-09-25 13:27:29.536,2024,3,14,Spring,Winter
13,card,28.9,Americano,Afternoon,4,Thursday,3,March,2024-03-14,2025-09-25 13:28:24.527,2024,3,14,Spring,Winter
13,card,33.8,Americano with Milk,Afternoon,4,Thursday,3,March,2024-03-14,2025-09-25 13:51:59.905,2024,3,14,Spring,Winter
13,card,24.0,Espresso,Afternoon,4,Thursday,3,March,2024-03-14,2025-09-25 13:52:56.248,2024,3,14,Spring,Winter
15,card,38.7,Latte,Afternoon,4,Thursday,3,March,2024-03-14,2025-09-25 15:20:38.367,2024,3,14,Spring,Winter
16,card,33.8,Americano with Milk,Afternoon,4,Thursday,3,March,2024-03-14,2025-09-25 16:04:09.506,2024,3,14,Spring,Winter
16,card,24.0,Espresso,Afternoon,4,Thursday,3,March,2024-03-14,2025-09-25 16:54:38.202,2024,3,14,Spring,Winter
18,card,38.7,Hot Chocolate,Night,4,Thursday,3,March,2024-03-14,2025-09-25 18:58:55.854,2024,3,14,Spring,Winter
19,card,28.9,Cortado,Night,4,Thursday,3,March,2024-03-14,2025-09-25 19:00:08.663,2024,3,14,Spring,Winter
10,card,38.7,Hot Chocolate,Morning,5,Friday,3,March,2024-03-15,2025-09-25 10:53:02.180,2024,3,15,Spring,Winter
18,card,28.9,Americano,Night,5,Friday,3,March,2024-03-15,2025-09-25 18:19:27.922,2024,3,15,Spring,Winter
12,card,33.8,Americano with Milk,Afternoon,6,Saturday,3,March,2024-03-16,2025-09-25 12:06:55.209,2024,3,16,Spring,Winter
12,card,28.9,Americano,Afternoon,6,Saturday,3,March,2024-03-16,2025-09-25 12:07:53.915,2024,3,16,Spring,Winter
15,card,28.9,Cortado,Afternoon,6,Saturday,3,March,2024-03-16,2025-09-25 15:58:18.458,2024,3,16,Spring,Winter
16,card,28.9,Cortado,Afternoon,6,Saturday,3,March,2024-03-16,2025-09-25 16:03:21.738,2024,3,16,Spring,Winter
16,card,28.9,Cortado,Afternoon,6,Saturday,3,March,2024-03-16,2025-09-25 16:04:11.444,2024,3,16,Spring,Winter
17,card,33.8,Americano with Milk,Night,6,Saturday,3,March,2024-03-16,2025-09-25 17:58:07.241,2024,3,16,Spring,Winter
12,card,28.9,Cortado,Afternoon,7,Sunday,3,March,2024-03-17,2025-09-25 12:55:26.065,2024,3,17,Spring,Winter
11,card,28.9,Cortado,Morning,1,Monday,3,March,2024-03-18,2025-09-25 11:17:59.671,2024,3,18,Spring,Winter
15,card,28.9,Americano,Afternoon,1,Monday,3,March,2024-03-18,2025-09-25 15:31:39.725,2024,3,18,Spring,Winter
15,card,28.9,Americano,Afternoon,1,Monday,3,March,2024-03-18,2025-09-25 15:32:38.239,2024,3,18,Spring,Winter
